week,date,day,std,subject1,competency1,playlist_link1,worksheet_link1,subject2,competency2,playlist_link2,worksheet_link2
5,2021-07-21,Wednesday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पेज नम्बर 7 से चिडिया  कविता। (दिए गए विडियों के अनुसार ),https://youtu.be/rMRfRhiBRnc,https://bit.ly/3gy3311,बौद्विक विकास,बौद्विक विकास- आकृति की पहचान कर पाऐगे।--गतिविधि - 2 तरंग पेज नः 12ृ के माध्यम से आकृति की पहचान।,,https://bit.ly/2TDZuNv
5,2021-07-22,Thursday ,I,भाषा विकास,भाषा विकास- म वर्ण का लेखन--गतिविधि - 1 तरंग पेज नः 55 के माध्यम से म वर्ण का लेखन ।,,https://bit.ly/2TEV5tJ,बौद्विक विकास,बौद्विक विकास- स्ंाख्या पहचान--गतिविधि - 2  चलों गिने गतिविधि करना । ; दिए गए विडियो के अनुसार ),https://bit.ly/3wLeesL,
5,2021-07-23,Friday ,I,भाषा विकास,भाषा विकास- सप्ताह के दिन--गतिविधि - 1 मेरी फुलवारी पेज नः 28 के माध्यम से सप्ताह के दिनों के नाम पर चर्चा करना।,,https://bit.ly/3wy7K0c,बौद्विक विकास,बौद्विक विकास- मिलान करो--गतिविधि - 2 किलकारी पेज नः 108 के माध्यम से चित्रों को गिनकर मिलान करना।,,https://bit.ly/3iLFCCU
6,2021-07-26,Monday ,I,भाषा विकास,भाषा विकास- वर्ण पहचान--गतिविधि - 1 उमंग पेज नः 61 के माध्यम से क व प वर्ण की पहचान करना,https://bit.ly/36Xcq4C,https://bit.ly/3wzApC7,बौद्विक विकास,बौद्विक विकास- गिनना--गतिविधि - 2 बच्चों को ठोस वस्तुओं के माध्यम सें 1 से 10 तक गिनना।,https://bit.ly/3BFZUEX,
6,2021-07-27,Tuesday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 गर्मी आई कविता।; दिए गए विडियो के अनुसार ),https://bit.ly/2UKjnUd,,बौद्विक विकास,बौद्विक विकास- चित्र गिनकर गोल बनाओं--गतिविधि - 2 2 किलकारी पेज नः 129 के माध्यम से चित्र गिनकर गोल बनना।,,https://bit.ly/35sXURA
6,2021-07-28,Wednesday ,I,भाषा विकास,"भाषा विकास- वर्ण का लेखन--गतिविधि - 1 सादा कागज पर क , प, म वर्ण लेखन का अभ्यास।",,,बौद्विक विकास,बौद्विक विकास- स्ंाख्या पहचान--गतिविधि - 2 किलकारी पेज नः 144 के माध्यम से संख्या पहचान।,,https://bit.ly/3zvThUE
6,2021-07-29,Thursday ,I,भाषा विकास,भाषा विकास- त वर्ण का लेखन--गतिविधि - 1 तरंग पेज नः 76 के माध्यम से त वर्ण का लेखन ।,,https://bit.ly/3zpJCyR,बौद्विक विकास,"बौद्विक विकास- आकृति पहचान--गतिविधि - 2 बच्चों से सादा कागज पर आयम, वृत्त ,वर्ग एवं त्रिभुज आकृति बनना।",,
6,2021-07-30,Friday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पेज नम्बर 16 खरगोष और कछुआ कहानी । ; दिए गए विडियो के अनुसार ),https://youtu.be/LUjaKCVA-sQ,https://bit.ly/2SxOUYB,बौद्विक विकास,बौद्विक विकास- रंग पहचान--गतिविधि - 2 तरंग पेज नः 48 के माध्यम से रंग पहचान।,,https://bit.ly/2UeYm3z
7,2021-08-02,Monday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 3 सेे ( उठो लाल ) बालगीत हाव - भाव से करना एवं बालगीत से सम्बन्धित छोटे - छोटे प्रष्न पूछना। ; दिए गए विडियो के अनुसार ),https://bit.ly/2Sbof3l,https://bit.ly/3zroojY,बौद्विक विकास,बौद्विक विकास- वर्गीकरण--गतिविधि - 2 तरंग पेज नम्बर 15 से वर्गीकरण करना।,,https://bit.ly/3gsvbT2
7,2021-08-03,Tuesday ,I,भाषा विकास,"भाषा विकास- हाथ एवं आँख का समन्वयन बना पाएगे।--गतिविधि - 1 तरंग पेज नम्बर 10 से बिन्दु मिलान करना, आकार पूरा करना तथा चित्र के अनुरूप रंग भरना।",,https://bit.ly/35oHrO8,बौद्विक विकास,बौद्विक विकास- 1 से 5 तक गिनना--गतिविधि - 2  1 से 5 तक ठोस के माध्यम गिनना ।   ; दिए गए विडियो के अनुसार ),https://bit.ly/3zHnXlF,
7,2021-08-04,Wednesday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 18 सेे कहानी ( एकता मे बल ) ।   ; दिए गए विडियो के अनुसार ),https://youtu.be/CkpHBDGXbRM,https://bit.ly/3iMn7hs,बौद्विक विकास,बौद्विक विकास- अन्तर खोजो--गतिविधि - 2 तरंग पेज नम्बर 21  से अन्तर खोजो गतिविधि।,,https://bit.ly/3iL8j2T
7,2021-08-05,Thursday ,I,भाषा विकास,भाषा विकास- हाथ एवं आँख का समन्वयन बना पाएगे।--गतिविधि - 1 तरंग पेज नम्बर 35 से चित्र में  रंग भरना ।,,https://bit.ly/3wzp19e,बौद्विक विकास,बौद्विक विकास- मोटे - पतले की पहचान--ष्गतिविधि - 2 बच्चों को मोटे - पतले की पहचान करना।  ; दिए गए विडियो के अनुसार ),https://bit.ly/3zD6Ama,
7,2021-08-06,Friday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 बच्चों से मेरी फुलवारी पुस्तक के पेज 38 पर दिए गए हमारा भोजन केे चित्र चार्ट से चर्चा करना।,,https://bit.ly/3iL3XIP,बौद्विक विकास,बौद्विक विकास- अंक पहचान--गतिविधि - 2  उमंग पेज नम्बर 54 से 6 अंक का लेखन।,,https://bit.ly/3grGrPF
8,2021-08-09,Monday ,I,भाषा विकास,भाषा विकास- लेखन क्षमता का विकास--गतिविधि - 1 तरंग पेज नम्बर 82 से त वर्ण का लेखन।,,https://bit.ly/2RYLP3c,बौद्विक विकास,बौद्विक विकास- 1 से 10 तक गिनना--गतिविधि - 2  1 से 10 तक ठोस के माध्यम गिनना  ।   ; दिए गए विडियो के अनुसार ),https://bit.ly/3qcLBC8,
8,2021-08-10,Tuesday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 बच्चों को (रेलगाडी ) बालगीत हाव - भाव से कराना एवं बालगीत से सम्बन्धित छोटे - छोटे प्रष्न पूछना ।  ; दिए गए विडियो के अनुसार ),https://bit.ly/3iRPJpN,,बौद्विक विकास,बौद्विक विकास- अंक पहचान--गतिविधि - 2   उमंग पेज नम्बर 63 से 7 अंक का लेखन ।,,https://bit.ly/3vpp4mM
8,2021-08-11,Wednesday ,I,भाषा विकास,भाषा विकास- हाथ एवं आँख का समन्वयन बना पाएगे।--गतिविधि - 1 तरंग पेज नम्बर 112 से बिन्दु मिलान व आकार पूरा करना।,,https://bit.ly/3cJCfby,बौद्विक विकास,बौद्विक विकास- अंक पहचान कर क्रम से लगा पाए।--गतिविधि - 2  अंको को क्रम से लगाना । ; दिए गए विडियो के अनुसार ),https://bit.ly/3xqoE0W,
8,2021-08-12,Thursday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 बच्चों को मेरी फुलवारी पुस्तक के पेज 34 पर दिए गए हमारे फलो के चित्र चार्ट से चर्चा करना।,,https://bit.ly/35vn1Dm,बौद्विक विकास,बौद्विक विकास- रास्ता खोजो--गतिविधि - 2 तरंग पेज नम्बर 69 से रास्ता खोजो गतिविधि करना ।,,https://bit.ly/2TztWsf
8,2021-08-13,Friday ,I,भाषा विकास,भाषा विकास- ध्वनि पहचान हो पाएगी।--गतिविधि - 1 तरंग पेज नम्बर 94 से न वर्ण ध्वनि पहचान करना।,,https://bit.ly/3cGPsSH,बौद्विक विकास,बौद्विक विकास- अंको की पहचान--ष्गतिविधि - 2 अको का वस्तुओ से मिलान ।   ; दिए गए विडियो के अनुसार ),https://youtu.be/ZjMWfPO8_es,
9,2021-08-16,Monday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 बच्चों को ( आओ करे दाॅत मे मंजन ) बालगीत हाव - भाव से करवाना एवं बालगीत से सम्बन्धित छोटे - छोटे प्रश्न  पूछना । (दिए गए विडियो के अनुसार ),https://youtu.be/8Obf9A6UaM8,,बौद्विक विकास,बौद्विक विकास- स्ंाख्या पहचान--गतिविधि - 2  तरंग  पेज नम्बर 36 से संख्या पहचान ।,,https://bit.ly/3vuwxB5
9,2021-08-17,Tuesday ,I,भाषा विकास,भाषा विकास- लेखन क्षमता का विकास--गतिविधि - 1 तरंग पेज नम्बर 100 से न वर्ण का लेखन करना।,,https://bit.ly/3gvTD4E,बौद्विक विकास,बौद्विक विकास- गिनना--गतिविधि - 2  मेरी फुलवारी पुस्तक के पेज 26 पर दिए गए गिनती केे चित्र चार्ट से चर्चा करना।,,https://bit.ly/3wzZKvP
9,2021-08-18,Wednesday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 46 पर दिए गए पक्षियो  केे चित्र चार्ट पर  चर्चा करना।,,https://bit.ly/2S8bLJY,बौद्विक विकास,बौद्विक विकास- अंक पहचान--गतिविधि - 2 उमंग  पेज नम्बर 72 से अंक का लेखन।,,https://bit.ly/3gsCRog
9,2021-08-19,Thursday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1  चुन्नु - मुन्नु ) बालगीत हाव - भाव से करना। एवं बालगीत से सम्बन्धित छोटे - छोटे प्रष्न पूछना । ; दिए गए विडियो के अनुसार ),https://youtu.be/DLv2Yt9oB7E,,बौद्विक विकास,बौद्विक विकास- क्रमिक चिन्तन का विकास--गतिविधि - 2 तरंग पेज नम्बर 66 से सोचो और बनाओ गतिविधि करना।,,https://bit.ly/3pXvbOb
9,2021-08-20,Friday ,I,भाषा विकास,भाषा विकास- एवं आँख का समन्वयन बना पाएगे।--गतिविधि - 1 तरंग पेज नम्बर 91 से बिन्दु मिलान व आकार पूरा करना।,,https://bit.ly/3grIvqK,बौद्विक विकास,बौद्विक विकास- स्थान की अवधारणा की समझ--गतिविधि - 2 दूर एंव पास की पहचान विडियो के माध्यम से करवाना।,https://bit.ly/3vARKta,
10,2021-08-23,Monday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 35 पर दिए गए सब्जियो केे चित्र चार्ट से चर्चा करना।,,https://bit.ly/3q3FdgG,बौद्विक विकास,बौद्विक विकास- अंक पहचान--गतिविधि - 2 उमंग पेज नम्बर 78 से 9 अंक का लेखन ।,,https://bit.ly/3q1koTe
10,2021-08-24,Tuesday ,I,भाषा विकास,भाषा विकास- हाथ एवं आँख का समन्वयन बना पाएगे।--गतिविधि - 1 तरंग पेज नम्बर 97 से बिन्दु मिलान करना व आकार पूरा करना।,,https://bit.ly/2TD32Qp,बौद्विक विकास,बौद्विक विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 2 दस छोटी चिडिया बालगीत करना।   ; दिए गए विडियो के अनुसार ),https://bit.ly/3wGuxqU,
10,2021-08-25,Wednesday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 43 पर दिए गए यातायात के साधनो केे चित्र चार्ट से चर्चा करना।,,https://bit.ly/3zwpIlN,बौद्विक विकास,बौद्विक विकास- अंक पहचान--गतिविधि - 2 उमंग पेज नम्बर 144 से 1 से 10 अंक का लेखन।,,https://bit.ly/3xqdwRM
10,2021-08-26,Thursday ,I,भाषा विकास,भाषा विकास- हाथ एवं आँख का समन्वयन बना पाएगे।--गतिविधि - 1 तरंग पेज नम्बर 92 से चित्र में  रंग से छाप लगाना।,,https://bit.ly/3xpMsSr,बौद्विक विकास,बौद्विक विकास- हल्के -भारी की पहचान--गतिविधि - 2 बच्चो को हल्का भारी की गतिविधि कराना   ; दिए गए विडियो के अनुसार ),https://bit.ly/3xMEuTV,
10,2021-08-27,Friday ,I,भाषा विकास,भाषा विकास- मौखिक अभिव्यक्ति का विकास हो पाऐगा।--गतिविधि - 1 कहानी  ( गिलहरी का कुल्लड) करना ।  ; दिए गए विडियो के अनुसार ),https://youtu.be/sVco8WDAyyE,,बौद्विक विकास,बौद्विक विकास- अंक पहचान--गतिविधि - 2 तरंग पेज नम्बर 60 से बीच वाली संख्या की पहचान करना।,,https://bit.ly/35oFlxB
11,2021-08-31,Tuesday ,I,भाषा विकास,गतिविधि - 1 तरंग पेज नम्बर 106 से न वर्ण का लेखन।,https://bit.ly/3wxXOUm,https://bit.ly/38qpVug,बौद्विक विकास,गतिविधि - 2  दिए गए विडियो के अनुसार गन्ध की पहचान कराना।  ; दिए गए विडियो के अनुसार ),,https://bit.ly/3yrT17j
11,2021-09-01,Wednesday ,I,भाषा विकास,गतिविधि - 1 ( बन्दर मामा पहन पजामा ) बालगीत हाव - भाव से कराना एवं बालगीत से सम्बन्धित छोटे - छोटे प्रष्न पूछना । ; दिए गए विडियो के अनुसार ),https://bit.ly/2Yc5Xlk,,बौद्विक विकास,गतिविधि - 2 तरंग पेज नम्बर 42 से 11 अंक का लेखन ।,,https://bit.ly/3gJplfK
11,2021-09-02,Thursday ,I,भाषा विकास,गतिविधि - 1 तरंग पेज नम्बर 109 से बच्चो का ल वर्ण की ध्वनि पहचान करना।,https://bit.ly/3xvxevr,https://bit.ly/38nUh0x,बौद्विक विकास,गतिविधि - 2 सादा कागज पर 1 से 5 अंक का लेखन कराना।,,
11,2021-09-03,Friday ,I,भाषा विकास,गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 44 पर दिए गए जंगली जानवरो केे चित्र चार्ट से चर्चा करना।,https://bit.ly/3iKweiQ,https://bit.ly/3jnZrjw,बौद्विक विकास,गतिविधि - 2 तरंग पेज नम्बर 54 से 12 अंक का लेखन करना।,https://bit.ly/3xooeIm,https://bit.ly/3BmvlCZ
12,2021-09-06,Monday ,I,भाषा विकास,गतिविधि - 1 तरंग पेज नम्बर 65 से चित्र में  रंग भरना।,https://bit.ly/3zyiy08,https://bit.ly/3ysapc3,बौद्विक विकास,गतिविधि - 2 सादा कागज पर 1 से 10 तक लेखन करना।,,
12,2021-09-07,Tuesday ,I,भाषा विकास,गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 42 पर दिए गए हमारा पहनावा केे चित्र चार्ट से चर्चा करना।,https://bit.ly/2TJ6kkQ,https://bit.ly/3BrfdQC,बौद्विक विकास,गतिविधि - 2 तरंग पेज नम्बर 63 से 13 अंक का लेखन।,https://bit.ly/3vEyzih,https://bit.ly/2UX2V30
12,2021-09-08,Wednesday ,I,भाषा विकास,गतिविधि - 1 तरंग पेज नम्बर 59 से चित्र में  रंग भरना।,https://bit.ly/3gT4YMH,https://bit.ly/3Bo6v5Y,बौद्विक विकास,गतिविधि - 2 बच्चो को तैरना और डूबना गतिविधि कराना। ; दिए गए विडियो के अनुसार ),,https://bit.ly/3kCou1v
12,2021-09-09,Thursday ,I,भाषा विकास,गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 40 पर दिए गए हमारे त्यौहार केे चित्र चार्ट से चर्चा करना।,https://bit.ly/3cQWnIS,https://bit.ly/3jqfzks,बौद्विक विकास,गतिविधि - 2 तरंग पेज नम्बर 72 से 14 अंक का लेखन करना।,https://bit.ly/3gEJ7Za,https://bit.ly/3sZSQ1H
12,2021-09-10,Friday ,I,भाषा विकास,गतिविधि - 1 तरंग पेज नम्बर 118 से ल वर्ण का लेखन करना।,https://bit.ly/2Tzwk2b,https://bit.ly/3ytkMfR,बौद्विक विकास,गतिविधि - 2 बच्चो को चलो यात्रा करे गतिविधि कराना।   ; दिए गए विडियो के अनुसार )ष्,,https://bit.ly/3zx26NA
13,2021-09-13,Monday ,I,भाषा विकास,गतिविधि - 1 मेरी फुलवारी पुस्तक के पेज 41 पर दिए गए हमारे त्यौहार केे चित्र चार्ट से चर्चा करना।,https://bit.ly/3cNDWVG,https://bit.ly/2XZc6B6,बौद्विक विकास,गतिविधि - 2 तरंग पेज नम्बर 78 से 15 अंक का लेखन करना।,https://bit.ly/35ongjv,https://bit.ly/3ktYO7m
13,2021-09-14,Tuesday ,I,हिंदी,पढ़ना औैर पढ़कर समझना- चित्र के सूक्ष्म और प्रत्यक्ष पहलुओं पर बारीक अवलोकन करना l,https://bit.ly/3iEFzZv,https://bit.ly/3pWz1qF,English,Listening and speaking - The learner recognises letter A-Z and their sounds,https://bit.ly/3vlwK9G,https://bit.ly/3gnE1Sa
13,2021-09-15,Wednesday ,I,हिंदी,पढ़ना औैर पढ़कर समझना- चित्र के सूक्ष्म और प्रत्यक्ष पहलुओं पर बारीक अवलोकन करना l,https://bit.ly/3zrE8n6,https://bit.ly/2Sut9sC,English,Listening and speaking- The learner recognises letter A-Z and their sounds,https://bit.ly/35uhCMX,https://bit.ly/3iVZoMb
13,2021-09-16,Thursday ,I,हिंदी,"सृजनात्मक अभिव्यक्ति- स्वयं बनाएं गए चित्रों के नाम लिखते (लेबलिंग) है, जैसे- हाथ के बने पंखे का चित्र बनाकर उसके नीचे बीजना (ब्रजभाषा, जो कि बच्चे की घर की भाषा हो सकती है।) लिखना।",https://bit.ly/3wupM3k,https://bit.ly/3cIhcqa,गणित,संख्या ज्ञान की समझ-1 से 20 तक की संख्याओं पर कार्य करते हैं। (1 से 5),https://bit.ly/2U2PKg1,https://bit.ly/3pW4b1s
